"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2020-12-04","TEXAS CORRECTIONAL INDUSTRIES","21P0004884","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=21P0004884' target='_blank'>21P0004884</a>","Privacy Screens RSD OSS Vice","$75,682","Completed","12/04/2020","Competitive","Other","425-94 Goods, 962-86 Other Services","""17460014313010"""
"Department of Public Safety","2020-12-08","DAVACO LP","0000000000000000000001299","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001299' target='_blank'>0000000000000000000001299</a>","Longview roof replacement","$94,145","Completed","08/31/2021","Competitive","Consulting","910-7  Construction, 910-8  Construction, 910-37 Construction, 910-72 Construction, 910-75 Construction, 910-16 Consulting Services, 910-74 Construction, 910-30 Construction, 910-11 Non-Construction Maintenance, 910-46 Non-Construction Maintenance, 910-66 Construction, 910-14 Construction, 910-40 Construction, 910-69 Construction, 910-25 Construction, 910-18 Construction, 910-70 Non-Construction Maintenance, 910-79 Construction, 910-36 Construction, 910-62 Security/Safety Services, 910-65 Construction, 910-68 Construction, 910-20 Construction, 910-26 Construction, 910-52 Construction, 910-4  Non-Construction Maintenance, 910-10 Construction, 910-39 Non-Construction Maintenance, 910-42 Construction, 910-71 Construction, 910-3  Non-Construction Maintenance, 910-9  Construction, 910-73 Construction, 910-76 Construction, 910-59 Non-Construction Maintenance, 910-53 Construction, 910-56 Construction, 910-85 Construction, 910-6  Construction, 910-38 Construction, 910-61 Construction, 910-67 Security/Safety Services, 910-1  Construction, 910-24 Construction, 910-27 Non-Construction Maintenance, 910-82 Construction, 910-63 Construction, 910-86 Construction, 910-23 Construction, 910-78 Construction, 910-12 Non-Construction Maintenance, 910-15 Construction, 910-47 Non-Construction Maintenance, 910-22 Construction, 910-48 Construction, 910-51 Construction, 910-54 Construction, 910-83 Non-Construction Maintenance, 910-81 Non-Construction Maintenance, 910-84 Construction, 910-2  Non-Construction Maintenance, 910-5  Construction, 910-60 Construction, 910-13 Construction, 910-45 Construction, 910-77 Construction, 910-80 Construction, 910-17 Construction, 910-49 Construction, 910-55 Construction, 910-0  Construction, 910-64 Construction","""18239706312000"""
"Department of Public Safety","2020-12-10","THREE RIVERS ISD","0000000000000000000001594","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001594' target='_blank'>0000000000000000000001594</a>","Three Rivers ISD. ICC New Cont","$318,617","Active","12/09/2030","Non-Comp, Interagency","Goods","971-45 Rental or Lease","""17460024049002"""
"Department of Public Safety","2020-12-14","TIME MANUFACTURING COMPANY","0000000000000000000001324","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001324' target='_blank'>0000000000000000000001324</a>","HQ7100226 Bucket Truck","$100,394","Completed","08/31/2021","Competitive","Goods","72 -6  Goods","""17416097172002"""
"Department of Public Safety","2020-12-16","NETSYNC NETWORK SOLUTIONS","0000000000000000000001301","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001301' target='_blank'>0000000000000000000001301</a>","Building B Bsement Network Eq","$90,361","Completed","08/31/2021","Competitive","Information","204-64 Information Technology","""13200303298004"""
"Department of Public Safety","2020-12-17","INTERNAL DATA RESOURCES INC","0000000000000000000001303","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001303' target='_blank'>0000000000000000000001303</a>","20R0042919 DB2 DA3 Staff ITSAC","$212,160","Completed","08/31/2021","Competitive","Management","962-69 Management Services","""15823891245000"""
"Department of Public Safety","2020-12-22","MOTOROLA SOLUTIONS INC","0000000000000000000001308","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001308' target='_blank'>0000000000000000000001308</a>","APX 8000XE Radios","$947,870","Completed","08/31/2021","Competitive","Goods","726-88 Goods","""13611158000009"""
"Department of Public Safety","2020-12-25","LIFE TECHNOLOGIES CORPORATION","0000000000000000000001290","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001290' target='_blank'>0000000000000000000001290</a>","DNA Analysis Equipment","$2,807,852","Completed","12/24/2021","Competitive","Goods","490-90 Goods","""13303730777003"""
"Department of Public Safety","2020-12-30","WORKQUEST-PRODUCTS","0000000000000000000001311","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001311' target='_blank'>0000000000000000000001311</a>","La Joya Janitorial.","$109,453","Completed","08/31/2025","Non-Comp, Non-Emergency","Goods","910-39 Non-Construction Maintenance","""17419760511200"""
"Department of Public Safety","2021-01-01","NORTEX MODULAR SPACE","0000000000000000000001338","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001338' target='_blank'>0000000000000000000001338</a>","Florence Portable Bldg. Lease","$75,320","Completed","08/31/2025","Competitive","Goods","971-82 Rental or Lease, 971-12 Rental or Lease, 971-35 Rental or Lease, 971-70 Rental or Lease, 971-38 Rental or Lease, 971-39 Rental or Lease, 971-8  Rental or Lease, 971-40 Rental or Lease, 971-63 Rental or Lease, 971-0  Rental or Lease, 971-26 Rental or Lease, 971-36 Rental or Lease, 971-91 Rental or Lease, 971-45 Rental or Lease, 971-2  Rental or Lease, 971-57 Rental or Lease, 971-65 Rental or Lease, 971-64 Rental or Lease, 971-5  Rental or Lease, 971-34 Rental or Lease, 971-55 Rental or Lease, 971-4  Rental or Lease, 971-30 Rental or Lease, 971-68 Rental or Lease","""17527487080000"""
"Department of Public Safety","2021-01-05","APPLIED CONCEPTS INC","0000000000000000000001316","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001316' target='_blank'>0000000000000000000001316</a>","TSB THP RADAR","$81,250","Completed","01/31/2021","Non-Comp, Non-Emergency","Goods","680-77 Goods","""17515449258000"""
"Department of Public Safety","2021-01-08","CEDA-TEX SERVICES INC","0000000000000000000001325","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001325' target='_blank'>0000000000000000000001325</a>","Texas City Refresh","$49,756","Completed","08/31/2021","Competitive","Goods","910-54 Construction","""17429198900001"""
"Department of Public Safety","2021-01-10","GALLS LLC","0000000000000000000001327","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001327' target='_blank'>0000000000000000000001327</a>","THP Body Armor Region 1, 2, 3 (2021)","$239,237","Completed","08/31/2021","Non-Comp, Non-Emergency","Goods","680-8  Goods","""12035459895000"""
"Department of Public Safety","2021-01-11","BODE CELLMARK FORENSICS INC","0000000000000000000001295","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001295' target='_blank'>0000000000000000000001295</a>","DNA Analysis","$403,108","Completed","11/30/2024","Competitive","Medical","952-48 Medical Services","""15417502935000"""
"Department of Public Safety","2021-01-11","TEXAS DEPARTMENT OF TRANSPORTATION","0000000000000000000001329","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001329' target='_blank'>0000000000000000000001329</a>","AY21_DLD CS Envelope","$214,047","Completed","08/31/2021","Competitive","Goods","310-24 Goods","""17460001708009"""
"Department of Public Safety","2021-01-14","GALLS LLC","0000000000000000000001346","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001346' target='_blank'>0000000000000000000001346</a>","Body Armor - TxSmartBuy 680 Contract","$164,362","Completed","08/31/2021","Competitive","Goods","680-8  Goods","""12328177642007"""
"Department of Public Safety","2021-01-14","COMPREHENSIVE COMMUNICATION SERVICES LLC","21P0006336","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=21P0006336' target='_blank'>21P0006336</a>","FY21 Mutualink Service","$56,729","Completed","08/31/2021","Non-Comp, Non-Emergency","Information","920-2  Information Technology","""12082851085001"""
"Department of Public Safety","2021-01-20","TEXAS STATE LIBRARY AND ARCHIVES COMMISSION","0000000000000000000001340","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001340' target='_blank'>0000000000000000000001340</a>","IAC-LES Case File Scanning","$100,000","Completed","08/31/2021","Non-Comp, Interagency","Management","958-82 Management Services","""17460001260003"""
"Department of Public Safety","2021-01-21","VIGILANT SOLUTIONS LLC","0000000000000000000001345","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001345' target='_blank'>0000000000000000000001345</a>","Vigilant Enterprise","$337,900","Completed","04/30/2022","Competitive","Goods","917-59 Rental or Lease","""18106609573001"""
"Department of Public Safety","2021-01-22","NICOLAS CARRASCO PHD","0000000000000000000001348","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001348' target='_blank'>0000000000000000000001348</a>","Employee Evaluation","$90,695","Completed","08/31/2024","Competitive","Medical","948-76 Medical Services","""17426518126000"""
"Department of Public Safety","2021-01-22","JJ RED COMMERCIAL ROOFING LLC","0000000000000000000001349","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001349' target='_blank'>0000000000000000000001349</a>","Mineral Wells Roof Replacement","$66,700","Completed","08/31/2021","Competitive","Consulting","910-14 Construction, 910-40 Construction, 910-69 Construction, 910-16 Consulting Services, 910-74 Construction, 910-37 Construction, 910-72 Construction, 910-75 Construction, 910-25 Construction, 910-18 Construction, 910-70 Non-Construction Maintenance, 910-79 Construction, 910-4  Non-Construction Maintenance, 910-10 Construction, 910-39 Non-Construction Maintenance, 910-42 Construction, 910-71 Construction, 910-3  Non-Construction Maintenance, 910-9  Construction, 910-59 Non-Construction Maintenance, 910-7  Construction, 910-8  Construction, 910-11 Non-Construction Maintenance, 910-46 Non-Construction Maintenance, 910-66 Construction, 910-36 Construction, 910-73 Construction, 910-76 Construction, 910-63 Construction, 910-86 Construction, 910-62 Security/Safety Services, 910-65 Construction, 910-68 Construction, 910-20 Construction, 910-26 Construction, 910-52 Construction, 910-30 Construction, 910-53 Construction, 910-56 Construction, 910-85 Construction, 910-6  Construction, 910-38 Construction, 910-61 Construction, 910-67 Security/Safety Services, 910-1  Construction, 910-24 Construction, 910-27 Non-Construction Maintenance, 910-82 Construction, 910-23 Construction, 910-78 Construction, 910-81 Non-Construction Maintenance, 910-84 Construction, 910-12 Non-Construction Maintenance, 910-15 Construction, 910-47 Non-Construction Maintenance, 910-2  Non-Construction Maintenance, 910-5  Construction, 910-60 Construction, 910-13 Construction, 910-45 Construction, 910-77 Construction, 910-80 Construction, 910-22 Construction, 910-48 Construction, 910-51 Construction, 910-54 Construction, 910-83 Non-Construction Maintenance, 910-0  Construction, 910-64 Construction, 910-17 Construction, 910-49 Construction, 910-55 Construction","""12735232329000"""
"Department of Public Safety","2021-01-25","CATERING BY ROSEMARY INC","0000000000000000000001353","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001353' target='_blank'>0000000000000000000001353</a>","Capitol Riot Trooper Meals","$831,066","Completed","08/31/2022","Non-Comp, Emergency","Other","961-15 Other Services","""17416113326006"""
"Department of Public Safety","2021-01-27","TEXAS STATE LIBRARY AND ARCHIVES COMMISSION","0000000000000000000001354","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001354' target='_blank'>0000000000000000000001354</a>","IAC Texas State Library Archives Commission","$150,000","Completed","01/26/2022","Non-Comp, Interagency","Management","958-82 Management Services","""17460001260000"""
"Department of Public Safety","2021-01-27","PRECISION MICROGRAPHICS  & IMAGING INC.","0000000000000000000001355","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001355' target='_blank'>0000000000000000000001355</a>","AUS Microfilm Scanners CL","$53,504","Completed","08/31/2021","Competitive","Goods","575-76 Goods","""17429362746*00"""
"Department of Public Safety","2021-01-29","GTS TECHNOLOGY SOLUTIONS INC","0000000000000000000001289","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001289' target='_blank'>0000000000000000000001289</a>","In Car Blanket","$25,000,000","Active","01/28/2026","Competitive","Information","204-54 Information Technology, 939-21 Information Technology, 204-68 Information Technology, 204-13 Information Technology","""17423397979014"""
"Department of Public Safety","2021-02-01","CEDA-TEX SERVICES INC","0000000000000000000001266","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001266' target='_blank'>0000000000000000000001266</a>","Remodel-Construction Blanket","$1,000,000","Completed","08/31/2022","Competitive","Management","909-21 Construction, 910-14 Construction, 910-40 Construction, 910-69 Construction, 909-74 Construction, 910-16 Consulting Services, 910-74 Construction, 912-38 Construction, 912-44 Construction, 912-73 Construction, 913-60 Construction, 913-89 Construction, 909-25 Construction, 909-31 Construction, 910-4  Non-Construction Maintenance, 910-10 Construction, 910-39 Non-Construction Maintenance, 910-42 Construction, 910-71 Construction, 912-42 Construction, 912-77 Construction, 913-40 Construction, 913-69 Construction, 913-95 Construction, 909-27 Construction, 910-23 Construction, 910-78 Construction, 910-81 Non-Construction Maintenance, 910-84 Construction, 912-23 Construction, 909-22 Construction, 909-60 Construction, 910-7  Construction, 912-68 Other Services, 913-63 Construction, 909-76 Construction, 910-17 Construction, 910-49 Construction, 910-55 Construction, 912-0  Construction, 912-26 Construction, 912-32 Construction, 913-50 Construction, 913-56 Construction, 913-88 Construction, 909-61 Construction, 909-64 Construction, 910-3  Non-Construction Maintenance, 909-75 Construction, 909-84 Construction, 910-18 Construction, 910-70 Non-Construction Maintenance, 910-79 Construction, 913-0  Construction, 913-96 Construction, 909-37 Construction, 909-66 Construction, 910-30 Construction, 910-53 Construction, 910-56 Construction, 910-85 Construction, 912-30 Construction, 912-33 Construction, 913-75 Construction, 913-78 Construction, 909-79 Goods, 910-8  Construction, 910-11 Non-Construction Maintenance, 910-46 Non-Construction Maintenance, 910-66 Construction, 912-52 Construction, 912-75 Management Services, 913-36 Construction, 909-62 Construction, 910-2  Non-Construction Maintenance, 910-5  Construction, 910-60 Construction, 912-21 Construction, 913-10 Construction, 913-16 Construction, 909-23 Construction, 910-73 Construction, 910-76 Construction, 912-31 Construction, 912-40 Construction, 912-60 Construction, 912-63 Construction, 913-55 Construction, 913-58 Construction, 913-64 Construction, 909-30 Construction, 910-25 Construction, 913-13 Construction, 913-71 Construction, 913-77 Construction, 909-3  Management Services, 910-0  Construction, 910-64 Construction, 913-38 Construction, 913-41 Construction, 912-20 Construction, 913-59 Construction, 913-65 Construction, 913-91 Construction, 909-24 Construction, 910-37 Construction, 910-72 Construction, 910-75 Construction, 913-39 Construction, 913-62 Construction, 913-68 Construction, 913-94 Construction, 909-67 Construction, 910-20 Construction, 910-26 Construction, 910-52 Construction, 912-29 Construction, 913-27 Construction, 913-82 Construction, 910-9  Construction, 912-19 Construction, 912-22 Construction, 912-54 Construction, 913-15 Construction, 913-67 Construction, 909-11 Construction, 910-59 Non-Construction Maintenance, 912-27 Construction, 912-56 Construction, 912-59 Construction, 913-81 Construction, 913-84 Construction, 909-28 Construction, 909-54 Construction, 909-57 Construction, 910-36 Construction, 910-62 Security/Safety Services, 910-65 Construction, 910-68 Construction, 912-16 Construction, 913-66 Construction, 909-10 Construction, 909-33 Management Services, 909-68 Construction, 910-63 Construction, 910-86 Construction, 912-50 Construction, 912-76 Construction, 913-19 Construction, 913-45 Construction, 913-48 Construction, 909-0  Construction, 909-26 Construction, 909-29 Construction, 910-6  Construction, 910-38 Construction, 910-61 Construction, 910-67 Security/Safety Services, 912-25 Construction, 913-44 Construction, 913-47 Construction, 909-34 Construction, 909-63 Construction, 910-1  Construction, 910-24 Construction, 910-27 Non-Construction Maintenance, 910-82 Construction, 912-65 Construction, 913-23 Construction, 909-17 Construction, 910-12 Non-Construction Maintenance, 910-15 Construction, 910-47 Non-Construction Maintenance, 913-61 Construction, 913-90 Construction, 909-16 Construction, 909-48 Goods, 909-77 Construction, 910-22 Construction, 910-48 Construction, 910-51 Construction, 910-54 Construction, 910-83 Non-Construction Maintenance, 913-92 Construction, 909-45 Construction, 909-80 Construction, 910-13 Construction, 910-45 Construction, 910-77 Construction, 910-80 Construction, 912-35 Construction, 913-57 Construction","""17429198900001"""
"Department of Public Safety","2021-02-02","WORKQUEST-PRODUCTS","0000000000000000000001336","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001336' target='_blank'>0000000000000000000001336</a>","P&CS FY21 Temps","$200,000","Completed","08/31/2021","Non-Comp, Non-Emergency","Management","962-69 Management Services","""17419760511200"""
"Department of Public Safety","2021-02-02","G T DISTRIBUTORS INC","0000000000000000000001361","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001361' target='_blank'>0000000000000000000001361</a>","A-21 Riot Gear","$59,189","Completed","05/01/2021","Competitive","Goods","680-8  Goods","""17423395288000"""
"Department of Public Safety","2021-02-04","WORKQUEST","0000000000000000000001309","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001309' target='_blank'>0000000000000000000001309</a>","RSD FY20 Temp Staffing","$400,000","Completed","08/31/2021","Competitive","Management","962-69 Management Services","""17419760511000"""
"Department of Public Safety","2021-02-04","KNIGHT SECURITY SYSTEM LLC","0000000000000000000001363","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001363' target='_blank'>0000000000000000000001363</a>","Denton Security Install","$72,999","Completed","08/31/2021","Competitive","Goods","990-50 Security/Safety Services","""12031864908009"""
"Department of Public Safety","2021-02-04","BULLCHASE","0000000000000000000001365","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001365' target='_blank'>0000000000000000000001365</a>","Battery BSOC (Jan)","$54,995","Completed","05/01/2021","Competitive","Goods","287-12 Goods","""12637188348001"""
"Department of Public Safety","2021-02-05","SAT RADIO COMMUNICATIONS","0000000000000000000001366","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001366' target='_blank'>0000000000000000000001366</a>","MSAT Radio Hardware Blanket","$255,092","Completed","08/31/2025","Competitive","Information","726-0  Goods, 726-6  Goods, 726-21 Goods, 726-11 Goods, 726-37 Goods, 726-78 Goods, 726-56 Goods, 726-88 Goods, 939-72 Information Technology, 726-24 Goods, 726-59 Goods, 726-84 Goods, 726-16 Goods, 726-77 Goods, 726-80 Goods, 726-54 Goods, 726-86 Goods, 726-44 Goods, 726-70 Goods, 726-40 Goods, 726-57 Goods, 726-63 Goods, 726-89 Goods, 726-90 Goods, 726-64 Goods, 726-41 Goods, 726-47 Goods, 726-13 Goods, 726-51 Goods","""17428617132004"""
"Department of Public Safety","2021-02-08","QA ROOFING INC","0000000000000000000001374","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001374' target='_blank'>0000000000000000000001374</a>","S0860609000 Seguin Roof Repair","$112,000","Completed","08/31/2021","Competitive","Goods","914-73 Construction, 910-66 Construction","""13718286167000"""
"Department of Public Safety","2021-02-08","TEAM NORTH TEXAS","0000000000000000000001376","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001376' target='_blank'>0000000000000000000001376</a>","S0860118000 Mount Pleasant Flr","$67,283","Completed","08/31/2021","Competitive","Goods","910-9  Construction, 914-44 Construction","""14725989686*00"""
"Department of Public Safety","2021-02-08","G T DISTRIBUTORS INC","0000000000000000000001377","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001377' target='_blank'>0000000000000000000001377</a>","Hornady Ammo","$156,546","Completed","08/31/2021","Competitive","Goods","680-4  Goods","""17423395288T13"""
"Department of Public Safety","2021-02-09","KNIGHT SECURITY SYSTEMS","0000000000000000000001379","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001379' target='_blank'>0000000000000000000001379</a>","Fleet Analytics Security Upgrade","$84,067","Completed","08/31/2021","Competitive","Goods","680-12 Goods, 680-48 Goods, 680-77 Goods, 680-2  Goods, 680-49 Goods, 680-52 Goods, 680-78 Goods, 680-20 Goods, 680-5  Goods, 680-40 Goods, 680-82 Goods, 680-88 Goods, 680-84 Goods, 680-87 Goods, 680-45 Goods, 680-51 Goods, 680-74 Goods, 680-80 Goods, 680-66 Goods, 680-72 Goods, 680-4  Goods, 680-33 Goods, 680-68 Goods, 680-71 Goods, 680-28 Goods, 680-34 Goods, 680-54 Goods, 680-86 Goods, 680-89 Goods, 680-0  Goods, 680-32 Goods, 680-35 Goods, 680-93 Goods, 680-50 Goods, 680-56 Goods, 680-59 Goods, 680-57 Goods, 680-60 Goods, 680-10 Goods, 680-36 Goods, 680-42 Goods, 680-92 Goods, 680-62 Goods, 680-65 Goods, 680-94 Goods, 680-97 Goods, 680-41 Goods, 680-70 Goods, 680-76 Goods, 680-6  Goods, 680-58 Goods, 680-61 Goods, 680-8  Goods, 680-46 Goods, 680-44 Goods, 680-73 Goods, 680-79 Goods, 680-47 Goods, 680-24 Goods, 680-53 Goods, 680-85 Goods, 680-63 Goods, 680-95 Goods, 680-67 Goods, 680-96 Goods","""14709061130007"""
"Department of Public Safety","2021-02-09","SHIMADZU SCIENTIFIC INSTRUMENTS INC","0000000000000000000001381","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001381' target='_blank'>0000000000000000000001381</a>","AUS Headspace GC","$167,949","Completed","08/31/2021","Competitive","Goods","493-11 Goods","""15210359566000"""
"Department of Public Safety","2021-02-09","LIFE TECHNOLOGIES CORPORATION","0000000000000000000001382","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001382' target='_blank'>0000000000000000000001382</a>","Rangers Y-Filer Kits","$52,470","Completed","06/01/2021","Competitive","Other","962-86 Other Services, 175-23 Goods","""13303730777003"""
"Department of Public Safety","2021-02-10","AGILENT TECHNOLOGIES INC","0000000000000000000001197","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001197' target='_blank'>0000000000000000000001197</a>","Crime Lab Consumables","$51,976","Completed","12/31/2025","Competitive","Other","175-15 Goods, 175-42 Goods, 962-86 Other Services, 175-14 Goods","""17705187726007"""
"Department of Public Safety","2021-02-10","BIDNETWORKS, LLC","0000000000000000000001198","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001198' target='_blank'>0000000000000000000001198</a>","Crime Lab Consumables","$336,840","Completed","12/31/2025","Competitive","Goods","175-42 Goods, 175-15 Goods, 175-16 Goods, 175-13 Goods, 175-68 Goods, 175-28 Goods, 175-66 Goods, 175-32 Goods","""18233769845*00"""
"Department of Public Safety","2021-02-10","EXPOTECH USA INC","0000000000000000000001199","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001199' target='_blank'>0000000000000000000001199</a>","Crime Lab Consumables","$1,336,723","Completed","12/31/2025","Competitive","Goods","175-3  Goods, 175-82 Goods, 175-65 Goods, 175-54 Goods, 175-15 Goods, 175-23 Goods, 175-42 Goods, 175-28 Goods, 175-57 Goods, 175-13 Goods, 175-33 Goods, 175-68 Goods, 175-16 Goods, 175-67 Goods, 175-8  Goods, 175-14 Goods","""17603024351000"""
"Department of Public Safety","2021-02-10","MERCEDES MEDICAL LLC","0000000000000000000001200","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001200' target='_blank'>0000000000000000000001200</a>","Crime Lab Consumables","$526,753","Completed","12/31/2025","Competitive","Goods","175-25 Goods, 175-3  Goods, 175-42 Goods, 175-67 Goods, 175-23 Goods, 175-89 Goods, 175-13 Goods, 175-68 Goods, 175-8  Goods, 175-14 Goods","""16504370244000"""
"Department of Public Safety","2021-02-10","SIEMENS INDUSTRY INC","0000000000000000000001384","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001384' target='_blank'>0000000000000000000001384</a>","S0860603000 SA HVACBAS Upgrade","$69,340","Completed","08/31/2021","Competitive","Goods","936-29 Non-Construction Maintenance, 910-17 Construction","""11327624885000"""
"Department of Public Safety","2021-02-11","LIFE TECHNOLOGIES","0000000000000000000001385","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001385' target='_blank'>0000000000000000000001385</a>","COYfiler Plus PCR Amplification Kits","$52,587","Completed","02/10/2022","Competitive","Goods","175-23 Goods","""13404313002001"""
"Department of Public Safety","2021-02-12","GALLS LLC","0000000000000000000001388","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001388' target='_blank'>0000000000000000000001388</a>","THP Reg 1 SOHPC Grant","$737,115","Completed","08/31/2021","Competitive","Goods","680-8  Goods","""12035459895002"""
"Department of Public Safety","2021-02-12","GALLS LLC","0000000000000000000001389","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001389' target='_blank'>0000000000000000000001389</a>","THP Reg 5 SOHPC Grant","$443,838","Completed","08/31/2021","Competitive","Goods","680-8  Goods","""12035459895002"""
"Department of Public Safety","2021-02-15","FLIGHTSAFETY TEXTRON AVIATION TRAINING LLC","0000000000000000000001249","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001249' target='_blank'>0000000000000000000001249</a>","Flight Simulation Training","$1,500,000","Active","02/14/2026","Competitive","Other","905-53 Other Services","""11339165240001"""
"Department of Public Safety","2021-02-17","APPLIED CONCEPTS INC","0000000000000000000001391","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001391' target='_blank'>0000000000000000000001391</a>","THP HQ Radars","$285,000","Completed","08/31/2021","Competitive","Goods","680-77 Goods","""17515449258000"""
"Department of Public Safety","2021-02-18","G T DISTRIBUTORS INC","0000000000000000000001392","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001392' target='_blank'>0000000000000000000001392</a>","THP Blue and Tan Ike Jacket","$2,205,000","Completed","08/31/2021","Competitive","Goods","200-88 Goods","""17423395288000"""
"Department of Public Safety","2021-02-19","CON10GENCY CONSULTING, LLC","0000000000000000000001412","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001412' target='_blank'>0000000000000000000001412</a>","Protective Masks","$70,913","Completed","08/31/2021","Competitive","Goods","345-72 Goods","""13840157898*00"""
"Department of Public Safety","2021-02-22","NETSYNC NETWORK SOLUTIONS","0000000000000000000001393","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001393' target='_blank'>0000000000000000000001393</a>","FY21 Red Hat Maintenance","$107,216","Completed","02/28/2022","Competitive","Information","920-45 Information Technology","""13200303298007"""
"Department of Public Safety","2021-02-22","MAINLINE INFORMATION SYSTEMS INC","0000000000000000000001395","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001395' target='_blank'>0000000000000000000001395</a>","IBM TLETS HW & SW Maintenance","$33,295","Completed","08/31/2022","Competitive","Information","939-21 Information Technology, 920-45 Information Technology","""15929607214002"""
"Department of Public Safety","2021-02-22","CON10GENCY CONSULTING, LLC","0000000000000000000001414","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001414' target='_blank'>0000000000000000000001414</a>","First Responder Protective Mas","$203,437","Completed","08/31/2021","Competitive","Goods","345-72 Goods","""13840157898*00"""
"Department of Public Safety","2021-02-23","DAVACO INC","0000000000000000000001188","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001188' target='_blank'>0000000000000000000001188</a>","San Antonio McMullen Parking Lot","$85,311","Completed","05/31/2021","Competitive","Goods","929-14 Non-Construction Maintenance","""12088979492000"""
